Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of
Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire",New Jersey,New Mexico,New York,"North
Carolina",North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclopropyl/crotonyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclopropyl fentanyl,0,0,0,0,1,2,0,0,0,0,2,0,0,1,1,0,0,0,2,0,2,3,0,10,0,2,0,0,0,0,0,0,1,0,0,20,1,3,7,0,0,0,0,0,0,0,0,1,2,1,1
Despropionyl fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despropionyl ortho -methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despropionyl para -fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fentanyl,139,9,3229,305,2933,275,492,47,100,4387,203,4,57,2458,2040,461,158,3208,468,384,5887,8899,1736,590,139,3456,27,16,83,1455,9754,122,6899,373,171,17064,114,194,11808,643,1246,7,1970,419,68,326,3342,586,1100,585,23
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,22,0,0,9,0,2,0,0,0,0,0,0,0,4,0,0
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,190,6,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,146,0,1,0,0,6,0,0,53,0,7,0,1,0,0,0,0,0,0,1,0
Furanyl benzyl fentanyl,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,2,0,1,2,0,17,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
Furanyl fentanyl,0,0,0,0,1,3,1,0,1,23,2,0,0,49,3,3,0,1,0,0,13,2,0,1,0,1,0,0,0,0,76,1,2,0,0,23,0,2,13,8,3,0,1,0,1,0,1,3,5,3,0
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
Methoxyacetyl fentanyl,1,0,0,0,0,0,0,0,2,32,1,0,0,0,7,4,0,3,2,0,0,6,0,3,0,0,0,0,0,0,2,0,0,0,0,91,0,0,4,1,3,0,1,2,0,0,3,1,3,1,0
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ortho -Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
para -Fluoro benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
para -Fluoro cyclopropyl benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
para -Fluoro furanyl fentanyl,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
para -Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
para -Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
para -Fluoroisobutyryl fentanyl,0,0,0,0,0,0,1,0,3,6,1,0,0,1,0,5,0,1,0,2,28,1,0,11,0,1,0,0,0,0,29,0,11,6,0,14,0,0,19,2,1,0,0,0,0,0,30,0,0,0,0
Phenyl fentanyl,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetrahydrofuran fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified fentanyl-related compounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Valeryl fentanyl,0,0,3,1,37,0,6,1,0,13,3,0,0,9,2,5,0,107,0,1,9,528,2,1,0,101,0,0,0,47,140,0,2,3,0,584,0,1,392,32,10,0,13,0,0,0,23,0,8,1,0
