Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of
Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire",New Jersey,New Mexico,New York,"North
Carolina","North
Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode
Island","South
Carolina","South
Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming
Cannabinol,25,0,5,23,37,13,0,0,0,20,23,1,7,26,183,0,10,5,3,0,7,0,0,5,5,8,0,0,13,6,5,2,8,3,1,20,0,0,4,0,1,132,1,120,1,0,190,13,8,0,141
Cannabis/THC,8857,2,10786,6697,10042,1639,214,2,53,10593,1453,240,3412,2843,10528,7217,10224,2424,20671,23,6089,2057,455,1392,2891,7167,136,1258,491,274,26152,770,13103,529,2053,18978,7465,256,16341,498,5564,558,9871,21359,561,101,11039,813,487,1718,2516
Carfentanil,2,0,0,1,4,0,0,0,0,13,16,0,0,4,1,3,0,5,3,0,0,13,2,1,0,0,0,0,0,1,0,0,11,3,1,2712,0,0,65,31,1,0,32,40,1,0,8,4,35,0,0
Clonazepam,256,2,136,549,198,69,3,0,5,395,135,3,3,118,232,144,155,149,638,7,262,367,155,33,48,410,15,48,41,107,230,7,250,11,25,629,134,40,445,114,228,10,327,243,16,1,426,46,56,34,12
Cocaine,2914,13,1534,1449,10662,2162,452,37,198,19032,4819,111,276,7356,3414,1328,1156,2194,3088,404,10630,7325,3685,1157,925,1851,75,410,283,862,7548,280,23196,1477,156,21235,717,543,11649,1239,3750,61,2308,17707,187,290,11533,761,574,1389,162
Codeine,21,0,34,105,176,16,1,0,1,85,76,3,10,62,37,26,42,13,91,0,67,25,73,19,9,62,5,16,19,3,88,2,109,12,6,141,59,14,69,6,50,2,35,345,1,2,76,28,6,14,9
Controlled substances^{1},0,0,0,0,2159,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diazepam,80,0,56,192,91,41,0,0,1,157,39,1,1,39,78,58,58,63,149,2,43,45,38,12,17,198,4,19,20,27,60,1,39,3,10,312,57,15,91,25,101,5,156,79,15,0,165,18,21,12,6
Dimethylsulfone,121,19,25,731,292,34,1,2,24,166,122,23,8,146,862,37,16,120,34,6,1,5,56,6,145,89,48,14,58,7,10,27,40,147,13,101,43,19,40,0,21,10,152,563,3,3,30,54,83,61,1
Diphenhydramine,12,0,12,82,34,2,1,0,7,47,16,0,0,206,587,25,10,28,35,1,26,19,31,7,8,129,6,9,5,3,33,0,9,4,1,314,3,2,21,0,18,2,40,387,0,0,46,2,94,88,0
Etizolam,22,0,79,175,104,20,2,0,4,210,43,0,3,28,78,13,47,57,185,3,194,22,2,11,19,40,0,2,15,3,54,0,2,30,2,402,48,21,124,6,84,0,59,730,5,0,392,22,7,25,7
Eutylone,19,2,1,5,12,1,1,0,16,3101,166,0,0,48,62,38,2,26,18,0,276,3,31,5,14,1,0,0,1,0,94,0,12,12,6,303,8,1,240,4,139,0,11,66,1,0,282,0,18,6,0
Fentanyl,139,9,3229,305,2933,275,492,47,100,4387,203,4,57,2458,2040,461,158,3208,468,384,5887,8899,1736,590,139,3456,27,16,83,1455,9754,122,6899,373,171,17064,114,194,11808,643,1246,7,1970,419,68,326,3342,586,1100,585,23
Flualprazolam,4,0,0,36,113,10,5,0,0,6,93,0,0,94,27,23,43,24,79,1,4,25,0,11,1,77,9,10,15,0,46,0,0,1,2,325,41,84,106,14,13,3,70,267,2,0,118,41,3,24,1
Fluoro-MDMB-PICA,0,0,7,0,0,0,0,0,0,1509,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0
FUB-AMB,40,0,35,10,6,0,0,0,0,127,14,0,0,85,56,7,51,44,15,0,7,97,0,4,16,22,0,8,1,4,3,0,1,1,0,41,2,0,68,2,10,0,7,258,61,0,25,1,4,6,0
Gabapentin,0,1,59,49,54,2,4,0,3,10,6,0,1,1,78,54,6,376,75,4,51,370,70,20,1,15,0,15,21,79,112,1,6,0,8,310,20,5,228,0,47,7,776,58,0,0,361,8,64,36,0
Heroin,524,58,3439,364,17399,2538,409,32,157,4743,1228,58,1375,4658,3763,583,707,2057,2190,90,2937,4345,1904,1070,285,1650,309,123,625,275,9391,932,8642,511,407,12001,1421,3236,9099,204,2431,100,2144,5726,624,374,5253,3648,1113,918,207
Hydrocodone,688,2,99,1093,921,83,0,0,1,505,538,7,125,323,562,131,258,529,781,0,96,33,529,22,268,690,23,63,102,14,61,12,141,39,30,756,316,69,213,35,291,5,678,848,22,0,566,56,57,43,42
Hydromorphone,12,0,16,83,45,6,2,0,0,684,57,0,9,5,18,15,31,13,24,0,27,8,39,4,10,37,5,6,5,5,10,2,20,2,8,54,14,10,20,1,26,0,38,93,4,0,115,5,50,1,4
Ketamine,16,0,28,12,230,65,28,1,5,155,10,0,4,59,18,9,19,8,16,9,90,396,48,5,0,44,2,12,12,28,80,3,429,6,1,201,3,37,164,11,23,5,26,44,6,2,101,12,8,21,3
Lidocaine,11,0,17,36,175,16,34,12,4,119,38,2,0,22,37,9,0,2,16,3,27,40,8,4,0,19,2,2,14,1,78,5,140,6,2,45,3,5,74,3,4,0,21,158,0,10,11,3,17,15,0
Lisdexamfetamine,27,0,9,90,7,2,0,0,0,42,37,0,5,19,33,24,28,11,114,1,64,5,39,2,23,31,2,16,1,8,24,1,2,1,6,117,9,7,45,5,32,0,52,134,1,0,82,3,1,12,2
Lorazepam,39,0,47,45,71,17,2,0,0,68,17,2,1,36,33,36,24,14,69,0,52,55,36,6,6,82,2,19,10,29,34,2,23,1,11,179,19,8,121,18,56,9,57,44,7,0,100,9,11,13,4
Lysergic acid diethylamide (LSD),5,0,107,116,166,149,0,0,0,203,46,7,81,165,123,94,49,60,92,4,38,29,129,55,21,109,10,66,48,33,137,0,102,20,14,679,75,45,183,17,23,5,76,180,57,1,267,38,18,50,22
MDA,2,0,25,17,353,58,0,0,0,69,27,0,5,19,12,28,11,5,6,0,17,1,13,1,0,14,1,1,21,6,6,3,28,3,3,42,6,36,39,0,0,0,8,86,9,0,31,21,2,3,8
MDMA,50,0,115,49,1134,132,1,1,2,612,58,11,63,785,125,133,70,60,94,4,137,72,173,89,11,79,14,30,212,32,115,8,278,35,11,501,59,91,187,16,130,11,82,392,35,2,267,108,10,50,16
MDMB-4en-PINACA,0,0,0,2,0,0,0,0,0,320,1,0,0,0,261,0,60,29,3,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,19,0,0,46,0,0,0,1,333,2,0,0,0,0,0,0
Methadone,38,0,39,46,90,8,3,0,3,103,54,1,12,38,65,11,37,52,56,3,136,34,78,9,9,49,4,0,18,13,71,0,114,4,3,112,12,15,56,5,27,6,64,120,6,3,152,21,3,5,1
Methamphetamine,9995,82,8389,15394,72033,6813,39,19,140,15009,16805,754,5417,5099,18278,8997,9643,15381,12191,155,981,520,4698,6306,5269,18919,1703,4594,2607,1238,2253,2513,2520,1120,2476,27692,12882,8772,6846,181,7279,1341,14016,48962,1498,24,12039,7543,2724,1778,2252
Methylphenidate,16,0,42,67,33,18,0,0,0,46,46,1,24,31,34,24,26,14,46,3,62,52,97,18,11,47,10,16,9,26,31,0,38,1,10,196,25,20,89,11,40,2,36,61,2,4,133,17,9,11,6
Morphine,63,0,66,124,125,42,2,0,0,272,62,11,39,40,93,49,68,54,70,2,80,25,116,31,33,157,13,25,27,7,63,21,85,10,15,206,91,35,98,10,66,10,190,137,24,3,172,52,13,41,49
N-Ethylpentylone,11,1,1,13,1,4,12,0,1,314,71,0,0,40,61,13,16,16,43,0,18,5,14,4,47,12,0,7,5,1,31,0,11,9,1,214,22,7,65,5,175,1,6,262,4,1,78,0,15,7,9
Naloxone,10,0,7,127,153,13,11,0,0,39,1,0,0,3,155,16,1,0,334,5,213,579,0,15,70,85,12,8,7,316,35,5,4,0,8,398,0,1,509,0,214,10,13,39,0,0,1461,87,4,13,0
Oxycodone,453,5,408,779,761,194,25,1,10,1821,890,15,101,162,423,81,265,602,667,19,1197,623,334,65,186,708,35,49,114,85,1219,26,1615,68,103,2471,248,82,1066,88,440,9,1079,446,43,3,1396,193,130,140,52
Phenacetin,8,6,11,52,183,7,57,30,25,48,9,4,2,33,23,1,5,7,2,30,71,50,14,2,3,11,11,1,21,6,174,4,271,33,0,16,2,3,63,0,5,0,14,120,5,19,60,9,65,12,0
Phencyclidine (PCP),0,0,7,57,321,3,29,0,10,0,0,0,0,244,15,9,33,0,127,0,216,63,0,17,7,122,0,2,17,0,199,0,431,2,12,250,82,3,196,0,2,0,0,1026,0,0,200,3,1,0,0
Phenylimidothiazole (undetermined isomer)^{1},84,6,28,134,348,31,101,19,66,319,50,3,3,121,117,1,6,13,36,41,152,77,12,4,14,26,21,1,16,12,115,14,325,91,29,82,11,8,92,7,13,5,81,643,9,34,111,27,71,49,0
Promethazine,10,0,17,86,28,1,0,0,0,25,32,0,1,81,29,9,5,16,200,0,14,46,0,4,6,19,0,3,16,2,41,1,0,1,1,79,5,7,34,0,49,0,7,627,0,0,111,2,2,9,3
Psilocin,6,0,131,75,377,83,4,0,0,48,47,0,1,14,109,0,53,30,26,1,19,42,25,46,15,145,28,48,38,24,49,10,73,6,0,341,32,11,15,28,51,15,18,348,84,0,205,70,5,37,34
Psilocin/psilocibin,2,0,9,0,181,69,3,0,0,16,0,0,34,97,0,171,13,39,6,0,49,0,101,22,1,3,0,0,3,18,5,0,1,2,22,50,13,77,134,0,1,6,47,28,0,0,0,60,0,0,0
Quinine,23,0,1,21,0,0,71,6,32,116,8,0,0,98,86,0,0,9,0,13,132,77,20,2,1,70,4,0,0,1,188,0,245,23,0,146,0,0,97,2,4,0,69,1,0,6,59,1,106,40,0
Synthetic cannabinoids^{1},7,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,1,0,187,0,0,0,0,8,0,0,0,20,0,7,4,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Testosterone,100,3,31,34,56,13,3,0,2,84,16,0,8,18,31,42,59,16,99,1,22,43,16,5,0,26,3,12,8,6,89,2,24,1,1,231,34,13,103,16,22,1,39,105,8,0,32,4,0,14,8
Tetrahydrocannabinolic acid A,0,0,0,0,267,0,0,0,0,0,506,0,22,0,0,0,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,86,0,0,9,0,0,0,0,49,0,0,0,216,0,0,0
Tramadol,158,6,147,166,262,19,60,5,27,403,133,0,3,152,128,84,67,114,386,2,487,166,58,46,29,264,9,32,21,99,484,19,217,21,14,1901,76,23,1054,70,193,12,179,318,12,39,348,39,76,49,17
Valeryl fentanyl,0,0,3,1,37,0,6,1,0,13,3,0,0,9,2,5,0,107,0,1,9,528,2,1,0,101,0,0,0,47,140,0,2,3,0,584,0,1,392,32,10,0,13,0,0,0,23,0,8,1,0
Xylazine,4,0,4,2,36,0,44,16,19,230,2,0,0,9,28,1,2,13,10,3,11,24,2,2,0,7,0,0,2,29,436,0,60,1,0,172,0,0,244,5,0,0,11,10,0,0,5,0,13,46,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
